start,jasmine,var,tpa,blog,rEditor,guniev1,guniev2,unl1,unl2,unl3,unl4,unl5,unlisted,karmaEnd
Tue Apr 04 13:28:49 UTC 2017,13:32:16,13:33:39,13:34:31,13:35:31,13:36:04,13:36:53,13:37:43,13:38:35,13:39:17,13:39:46,13:40:21,13:41:01,13:41:37,13:43:01
Tue Apr 04 13:43:56 UTC 2017,13:47:15,13:48:39,13:49:31,13:50:32,13:51:04,13:51:54,13:52:43,13:54:38,13:57:24,13:57:53,13:58:28,13:59:08,13:59:44,14:01:05
Tue Apr 04 14:02:00 UTC 2017,14:05:29,14:06:45,14:07:37,14:08:37,14:09:09,14:09:58,14:10:48,14:12:46,14:13:29,14:15:02,14:15:37,14:16:18,14:16:54,14:18:16
Tue Apr 04 14:34:54 UTC 2017,14:38:13,14:39:36,14:40:29,14:41:30,14:42:02,14:42:51,14:43:41,14:44:33,14:45:16,14:45:44,14:46:19,14:47:00,14:48:39,14:50:00
Tue Apr 04 15:41:07 UTC 2017,15:44:26,15:45:43,15:46:35,15:48:36,15:49:09,15:49:58,15:50:48,15:51:40,15:52:23,15:52:52,15:53:27,15:54:08,15:54:45,15:56:07
Tue Apr 04 15:56:49 UTC 2017,15:59:41,16:00:59,16:01:53,16:02:53,16:03:25,16:04:13,16:05:03,16:05:55,16:06:37,16:09:09,16:09:44,16:10:25,16:11:01,16:12:23
Tue Apr 04 18:46:05 UTC 2017,18:49:18,18:50:40,18:52:38,18:53:32,18:54:05,18:54:55,18:55:44,18:56:38,18:57:20,18:58:51,18:59:27,19:00:08,19:00:45,19:02:08
Tue Apr 04 20:11:19 UTC 2017,20:14:33,20:15:57,20:16:49,20:18:53,20:19:26,20:20:15,20:21:04,20:21:57,20:22:40,20:23:09,20:23:44,20:24:25,20:25:01,20:26:24
Tue Apr 04 21:01:53 UTC 2017,21:04:56,21:06:16,21:07:08,21:08:02,21:08:35,21:09:25,21:10:14,21:11:06,21:11:48,21:12:16,21:12:51,21:14:34,21:16:13,21:17:36
Tue Apr 04 21:18:07 UTC 2017,21:21:06,21:22:31,21:23:23,21:24:22,21:24:55,21:25:44,21:26:33,21:27:26,21:28:08,21:28:36,21:29:11,21:29:51,21:30:27,21:31:49
Wed Apr 05 04:49:38 UTC 2017,04:56:06,04:57:26,04:58:17,04:59:11,04:59:43,05:01:33,05:02:23,05:03:14,05:03:57,05:04:25,05:04:59,05:06:41,05:07:17,05:08:37
